T_V [keV],dR/dT [v / keV s] Quench Gauss Eff
5.934008281121904e-06,1119.3140291929267
7.758959299683171e-06,1080.8964671451765
1.0144512841155364e-05,1042.618426709591
1.32626626499752e-05,1005.1663013353087
1.733809901194902e-05,968.447517518254
2.2664331282624067e-05,932.3483115089222
2.9624735999444305e-05,896.7385494972445
3.872003332880021e-05,861.5313485746323
5.06041525503675e-05,826.6671338325409
6.613104469704113e-05,792.0933615351125
8.64157798320847e-05,757.7902135790515
0.0001129142832034,723.6992402453088
0.0001475273910549,689.6870155257486
0.0001927366377242,655.6746178035348
0.0002517814443103,621.7349417740509
0.000328890327047,588.0752641507053
0.0004295825916323,554.9241898966907
0.0005610620043064,522.6346037822727
0.0007327304930887,491.6678401395792
0.0009568585072671,462.39452093838156
0.0012494598718611,435.15894480544335
0.0016314336332666,410.40646748488695
0.0021300545772042,388.1716343617823
0.0027809192262518,368.1760804731649
0.0036304870604963,350.35547563469123
0.0047393999231972,335.153917825452
0.0061868193515288,322.8529457735555
0.0080760962680232,313.7537480159865
0.0105421858919387,308.051029509131
0.013761350655351,306.2273369175176
0.0179638657746969,308.25283631743366
0.0234506700060076,310.8301501943161
0.0306152070492799,309.13523256423537
0.0399721069637202,297.53625073663534
0.0521948971864641,271.6390146680924
0.0681656578539721,231.09474536516902
0.0890405130146172,181.45114866519114
0.1163361706075346,131.47035820165036
0.1520445184554333,88.19412554885321
0.1987847303553529,54.711319857365204
0.2600056862377643,31.0737421278344
0.3402561137078193,15.871944353450425
0.445546204769238,7.122996364945648
0.5838332336646244,2.7316174825031556
0.7656758457846073,0.8662506292770253
1.0051185041238735,0.21834327611452145
1.3208908334293168,0.04164891201678328
1.7380386423819485,0.0056534710359865
2.290147275000015,0.0005056948607183132
3.0223774355102693,2.6876186053106964e-05
