T_V [keV],dR/dT [v / keV s] Quench Gauss
5.934008281121904e-06,7.382430646436398e-27
7.758959299683171e-06,7.128070991046252e-27
1.0144512841155364e-05,6.874411582678721e-27
1.32626626499752e-05,6.625923115720049e-27
1.733809901194902e-05,6.381925137319286e-27
2.2664331282624067e-05,6.14158122490602e-27
2.9624735999444305e-05,5.90392770456807e-27
3.872003332880021e-05,5.6682626630318466e-27
5.06041525503675e-05,5.434036231564383e-27
6.613104469704113e-05,5.2007121133842375e-27
8.64157798320847e-05,4.967930924514891e-27
0.0001129142832034,4.735036621534606e-27
0.0001475273910549,4.50083781060333e-27
0.0001927366377242,4.264456859180945e-27
0.0002517814443103,4.025960138350934e-27
0.000328890327047,3.786230940255207e-27
0.0004295825916323,3.546224546008049e-27
0.0005610620043064,3.3076146131951804e-27
0.0007327304930887,3.072647895020405e-27
0.0009568585072671,2.842846102993784e-27
0.0012494598718611,2.6193984907379323e-27
0.0016314336332666,2.4038879024472794e-27
0.0021300545772042,2.1952566961540056e-27
0.0027809192262518,1.9907669131522103e-27
0.0036304870604963,1.7893049146909234e-27
0.0047393999231972,1.592788473181685e-27
0.0061868193515288,1.402547742625011e-27
0.0080760962680232,1.220485507304449e-27
0.0105421858919387,1.048732692902853e-27
0.013761350655351,8.910701079213632e-28
0.0179638657746969,7.500729040795954e-28
0.0234506700060076,6.222823715028007e-28
0.0306152070492799,5.061607963833704e-28
0.0399721069637202,4.0183346182390366e-28
0.0521948971864641,3.1003346841607876e-28
0.0681656578539721,2.3110859045895e-28
0.0890405130146172,1.6530093472497618e-28
0.1163361706075346,1.1257282603476136e-28
0.1520445184554333,7.23102243034574e-29
0.1987847303553529,4.3306984932189846e-29
0.2600056862377643,2.3841640690021487e-29
0.3402561137078193,1.1855367521982354e-29
0.445546204769238,5.210331107522501e-30
0.5838332336646244,1.9701448507704606e-30
0.7656758457846073,6.198895720197665e-31
1.0051185041238735,1.5571879304960533e-31
1.3208908334293168,2.967236577689414e-32
1.7380386423819485,4.0269298170265834e-33
2.290147275000015,3.6019483281564987e-34
3.0223774355102693,1.9143267084984108e-35
