T_V [keV],dR/dT [v / keV s] Quench Gauss
2.9887705110917857e-06,9.51564457994412e-27
3.782390370427704e-06,9.522657037023043e-27
4.787419248342487e-06,9.495799046955317e-27
6.060576414096336e-06,9.447675489063296e-27
7.674037145915074e-06,9.38411778884643e-27
9.71978423292678e-06,9.30595731140646e-27
1.231526446037014e-05,9.211234747118385e-27
1.561078491730011e-05,9.097275921837555e-27
1.979925040453223e-05,8.961172808990073e-27
2.512908229091798e-05,8.799733715723664e-27
3.192150511104408e-05,8.609800130199673e-27
4.059389036164197e-05,8.387552801094098e-27
5.169158053800786e-05,8.128181404294322e-27
6.593168517516132e-05,7.82756006487668e-27
8.426389101054711e-05,7.48381105391889e-27
0.0001079555592453,7.097600543626933e-27
0.0001387115539208,6.671238076813264e-27
0.0001788436792271,6.210215344243432e-27
0.00023151067713,5.723128318282204e-27
0.0003010578616541,5.2191795792268774e-27
0.0003934960684692,4.7085584205199804e-27
0.0005171731301522,4.2030928129674436e-27
0.0006837081286164,3.710148774265716e-27
0.0009092801911415,3.233996849801368e-27
0.0012163913613815,2.780762042265562e-27
0.0016362601746346,2.3594027210524827e-27
0.0022120537213967,1.9752373290537785e-27
0.0030032375261584,1.6317721526268534e-27
0.0040914221124434,1.3304842752528915e-27
0.0055882214186897,1.0730492691820384e-27
0.0076458217896549,8.582038783606977e-28
0.0104712050186403,6.774326728942907e-28
0.0143452944980163,5.251671304873523e-28
0.019648727776985,3.9810486256505465e-28
0.0268965402479354,2.938658174221968e-28
0.0367848254852086,2.0999153613743364e-28
0.0502534880042859,1.4426342690900521e-28
0.0685706179060328,9.454667967156698e-29
0.0934459205917607,5.85552242239987e-29
0.1271831994804213,3.3875502743198185e-29
0.1728853470308003,1.8047893489476317e-29
0.234729963616967,8.700962842168046e-30
0.3183400219730473,3.714367392032016e-30
0.4312825082727948,1.3667965810137913e-30
0.5837394919672924,4.193204543549811e-31
0.7894116879230196,1.0291190101680472e-31
1.0667357582849708,1.9198528715508447e-32
1.4405253914393457,2.5563044776331208e-33
1.944185388797396,2.2483368673140404e-34
2.6227014452577686,1.177605715837584e-35
