x,Curve1,Curve2,Curve3
214.603,2.787E+019,7.552E+018,2.755E+019
214.75,2.791E+019,7.544E+018,2.753E+019
214.909,2.796E+019,7.536E+018,2.752E+019
219.478,2.865E+019,7.537E+018,2.632E+019
219.613,2.866E+019,7.54E+018,2.628E+019
220.056,2.868E+019,7.55E+018,2.615E+019
224.784,2.868E+019,7.638E+018,2.517E+019
225.068,2.867E+019,7.641E+018,2.514E+019
225.214,2.866E+019,7.642E+018,2.513E+019
229.353,2.861E+019,7.639E+018,2.514E+019
229.637,2.865E+019,7.636E+018,2.515E+019
229.783,2.867E+019,7.635E+018,2.515E+019
234.364,2.979E+019,7.64E+018,2.515E+019
234.499,2.982E+019,7.643E+018,2.515E+019
234.648,2.985E+019,7.646E+018,2.515E+019
239.069,3.031E+019,7.697E+018,2.516E+019
239.952,3.022E+019,7.662E+018,2.513E+019
240.259,3.016E+019,7.642E+018,2.512E+019
244.816,2.906E+019,7.089E+018,2.495E+019
245.124,2.905E+019,7.065E+018,2.494E+019
249.692,2.978E+019,7.16E+018,2.484E+019
249.974,2.983E+019,7.168E+018,2.484E+019
249.976,2.983E+019,7.168E+018,2.484E+019
254.556,2.993E+019,7.161E+018,2.513E+019
254.987,2.987E+019,7.156E+018,2.517E+019
255.133,2.984E+019,7.155E+018,2.518E+019
258.978,2.888E+019,7.162E+018,2.518E+019
259.261,2.882E+019,7.165E+018,2.517E+019
259.997,2.869E+019,7.173E+018,2.516E+019
264.578,2.904E+019,7.258E+018,2.517E+019
264.713,2.908E+019,7.261E+018,2.518E+019
264.862,2.912E+019,7.265E+018,2.518E+019
269.429,3.025E+019,7.415E+018,2.52E+019
270.167,3.029E+019,7.445E+018,2.518E+019
270.326,3.03E+019,7.451E+018,2.518E+019
274.589,2.995E+019,7.479E+018,2.518E+019
274.895,2.99E+019,7.453E+018,2.522E+019
275.177,2.986E+019,7.424E+018,2.527E+019
279.6,2.918E+019,6.981E+018,2.552E+019
279.759,2.916E+019,6.981E+018,2.549E+019
280.336,2.909E+019,6.999E+018,2.533E+019
284.02,2.91E+019,7.42E+018,2.37E+019
284.317,2.911E+019,7.444E+018,2.36E+019
284.475,2.913E+019,7.455E+018,2.355E+019
288.296,2.938E+019,7.337E+018,2.36E+019
289.486,2.947E+019,7.263E+018,2.37E+019
289.768,2.948E+019,7.25E+018,2.372E+019
294.042,2.949E+019,7.17E+018,2.39E+019
294.928,2.937E+019,7.17E+018,2.392E+019
294.939,2.937E+019,7.17E+018,2.392E+019
299.361,2.945E+019,7.171E+018,2.367E+019
299.495,2.949E+019,7.171E+018,2.365E+019
299.792,2.96E+019,7.17E+018,2.361E+019
304.519,3.188E+019,7.172E+018,2.3E+019
304.8,3.191E+019,7.175E+018,2.3E+019
305.098,3.191E+019,7.177E+018,2.3E+019
309.383,3.017E+019,7.174E+018,2.39E+019
309.519,3.011E+019,7.17E+018,2.393E+019
310.107,2.989E+019,7.152E+018,2.404E+019
314.689,2.987E+019,6.899E+018,2.453E+019
314.971,2.99E+019,6.88E+018,2.455E+019
315.267,2.992E+019,6.859E+018,2.457E+019
319.392,2.99E+019,6.642E+018,2.46E+019
319.689,2.99E+019,6.636E+018,2.457E+019
319.848,2.989E+019,6.634E+018,2.455E+019
324.55,2.991E+019,6.713E+018,2.376E+019
325.006,2.991E+019,6.722E+018,2.368E+019
325.29,2.991E+019,6.728E+018,2.363E+019
330.006,2.991E+019,6.724E+018,2.302E+019
330.017,2.991E+019,6.724E+018,2.302E+019
330.298,2.991E+019,6.719E+018,2.3E+019
334.439,3.019E+019,6.725E+018,2.3E+019
334.87,3.028E+019,6.744E+018,2.302E+019
335.015,3.031E+019,6.751E+018,2.304E+019
339.155,3.146E+019,6.995E+018,2.334E+019
339.583,3.153E+019,7.009E+018,2.334E+019
340.028,3.159E+019,7.019E+018,2.333E+019
344.742,3.154E+019,6.997E+018,2.275E+019
344.755,3.154E+019,6.996E+018,2.275E+019
344.892,3.153E+019,6.993E+018,2.273E+019
349.605,3.154E+019,6.906E+018,2.274E+019
349.608,3.154E+019,6.906E+018,2.274E+019
349.619,3.154E+019,6.906E+018,2.274E+019
354.778,3.195E+019,6.908E+018,2.273E+019
354.911,3.196E+019,6.904E+018,2.274E+019
355.061,3.197E+019,6.901E+018,2.274E+019
359.789,3.198E+019,6.819E+018,2.304E+019
359.925,3.198E+019,6.825E+018,2.304E+019
360.069,3.197E+019,6.832E+018,2.305E+019
364.199,3.187E+019,7.099E+018,2.305E+019
364.799,3.195E+019,7.093E+018,2.309E+019
364.933,3.197E+019,7.088E+018,2.31E+019
369.502,3.283E+019,6.586E+018,2.337E+019
369.8,3.276E+019,6.559E+018,2.335E+019
369.811,3.276E+019,6.558E+018,2.335E+019
374.38,3.116E+019,6.559E+018,2.257E+019
374.513,3.116E+019,6.563E+018,2.254E+019
374.958,3.117E+019,6.576E+018,2.246E+019
379.538,3.275E+019,6.647E+018,2.213E+019
379.819,3.284E+019,6.649E+018,2.215E+019
380.117,3.292E+019,6.652E+018,2.217E+019
384.697,3.327E+019,6.648E+018,2.276E+019
384.977,3.328E+019,6.644E+018,2.276E+019
384.98,3.328E+019,6.644E+018,2.276E+019
389.104,3.328E+019,6.566E+018,2.218E+019
389.255,3.326E+019,6.565E+018,2.218E+019
389.855,3.318E+019,6.563E+018,2.219E+019
394.262,3.285E+019,6.647E+018,2.248E+019
394.413,3.287E+019,6.65E+018,2.247E+019
394.424,3.288E+019,6.65E+018,2.247E+019
399.273,3.508E+019,6.651E+018,2.138E+019
399.288,3.509E+019,6.651E+018,2.138E+019
400.309,3.573E+019,6.644E+018,2.105E+019
