T_V [keV],dR/dT [v / keV s] Quench Gauss Eff
2.9887705110917857e-06,1442.4299618935365
3.782390370427704e-06,1443.5789746424048
4.787419248342487e-06,1439.616103067762
6.060576414096336e-06,1432.4572386800803
7.674037145915074e-06,1422.992995310563
9.71978423292678e-06,1411.3576225798759
1.231526446037014e-05,1397.264068754802
1.561078491730011e-05,1380.3189324652205
1.979925040453223e-05,1360.0956771210115
2.512908229091798e-05,1336.127321725736
3.192150511104408e-05,1307.9547285775757
4.059389036164197e-05,1275.021242582356
5.169158053800786e-05,1236.6219051144183
6.593168517516132e-05,1192.1570757002087
8.426389101054711e-05,1141.369535293051
0.0001079555592453,1084.3892531360061
0.0001387115539208,1021.5955601074842
0.0001788436792271,953.8521320552162
0.00023151067713,882.4977436990554
0.0003010578616541,808.9655863710321
0.0003934960684692,734.8436394410091
0.0005171731301522,661.9833818291598
0.0006837081286164,591.5479665458366
0.0009092801911415,524.1990769776797
0.0012163913613815,460.86800238878516
0.0016362601746346,402.94969965076507
0.0022120537213967,351.267946455272
0.0030032375261584,306.37490400035915
0.0040914221124434,268.5204100260432
0.0055882214186897,238.13338971996086
0.0076458217896549,215.28108405887613
0.0104712050186403,198.2570804230569
0.0143452944980163,185.33479745368976
0.019648727776985,174.45896126265987
0.0268965402479354,162.79203146790985
0.0367848254852086,146.70968763671047
0.0502534880042859,123.6601147816396
0.0685706179060328,94.77574527919093
0.0934459205917607,65.12796998626135
0.1271831994804213,40.1960660585876
0.1728853470308003,22.400685466511906
0.234729963616967,11.211384671988172
0.3183400219730473,4.9423190255781195
0.4312825082727948,1.8644938595296103
0.5837394919672924,0.5813865785129599
0.7894116879230196,0.1438927905299346
1.0667357582849708,0.0269292039048089
1.4405253914393457,0.003588490235564375
1.944185388797396,0.00031565272045222786
2.6227014452577686,1.6532990181141958e-05
