T [keV],dR/dT [v / keV s]
9.999999999999999e-05,1.2805011178209938e-27
0.00012648552168552957,1.2768953990318191e-27
0.00015998587196060574,1.2726393968555034e-27
0.00020235896477251557,1.2675952230178494e-27
0.0002559547922699533,1.2615932310148186e-27
0.00032374575428176466,1.2544383167020863e-27
0.00040949150623804275,1.2458859262538608e-27
0.0005179474679231213,1.2357257868081615e-27
0.0006551285568595509,1.2237602609974686e-27
0.0008286427728546842,1.2097751203593083e-27
0.0010481131341546852,1.1935822545329914e-27
0.0013257113655901107,1.1749033624900156e-27
0.00167683293681101,1.1532944136075247e-27
0.0021209508879201926,1.12835178539065e-27
0.002682695795279727,1.0998949540461296e-27
0.00339322177189533,1.0679681446802244e-27
0.004291934260128779,1.0326561116071408e-27
0.005428675439323859,9.94289639786388e-28
0.006866488450042998,9.534368480816041e-28
0.00868511373751352,9.105156235645337e-28
0.010985411419875572,8.658963284455492e-28
0.013894954943731361,8.201410189242598e-28
0.017575106248547932,7.7294973873799305e-28
0.022229964825261954,7.2337122790667125e-28
0.02811768697974231,6.709456276000332e-28
0.03556480306223128,6.1633671171041965e-28
0.044984326689694445,5.600602129288985e-28
0.05689866029018305,5.0293792146581e-28
0.07196856730011529,4.4599138725426635e-28
0.09102981779915227,3.910931191709859e-28
0.11513953993264481,3.397966699816758e-28
0.14563484775012445,2.910042548370355e-28
0.18420699693267165,2.443773930602392e-28
0.2329951810515372,2.0033753692677336e-28
0.29470517025518095,1.5965144610420425e-28
0.3727593720314942,1.2295783886000114e-28
0.47148663634573945,9.089636136441533e-29
0.5963623316594643,6.400628592282209e-29
0.7543120063354622,4.2533320443657494e-29
0.9540954763499944,2.6368862663780426e-29
1.2067926406393288,1.5037745444827747e-29
1.5264179671752334,7.752386618104488e-30
1.9306977288832496,3.5357141231803475e-30
2.44205309454865,1.3889327775616567e-30
3.088843596477485,4.545851275802877e-31
3.9069399370546214,1.1895317023958955e-31
4.941713361323838,2.3648700860023075e-32
6.250551925273976,3.354283579327017e-33
7.906043210907701,3.141470810090702e-34
10.0,1.7541780197367537e-35
