x,Curve1,Curve2,Curve3
0.549,0.74305,0.8043,0.67402
0.54926,0.74376,0.80511,0.6748
0.54935,0.74401,0.8054,0.67507
0.55813,0.75185,0.82379,0.68309
0.55856,0.75137,0.82362,0.68286
0.55965,0.74973,0.82266,0.6821
0.56706,0.72019,0.79879,0.66783
0.56946,0.70613,0.78466,0.65763
0.57072,0.69895,0.77584,0.65043
0.5792,0.68285,0.74679,0.61371
0.57929,0.68338,0.74733,0.61416
0.57965,0.68594,0.7499,0.61635
0.58723,0.78583,0.84039,0.70491
0.58892,0.78509,0.84949,0.71737
0.58946,0.78325,0.85013,0.71932
0.59869,0.72902,0.79207,0.66034
0.59879,0.72884,0.79182,0.66009
0.59896,0.72858,0.79147,0.65971
0.60751,0.77523,0.83939,0.69943
0.60848,0.77707,0.84376,0.70518
0.60903,0.77732,0.84523,0.70791
0.61758,0.75288,0.81892,0.69734
0.6183,0.75077,0.81656,0.69536
0.61857,0.75005,0.81578,0.69468
0.62861,0.75811,0.8218,0.69244
0.62922,0.76057,0.82408,0.69423
0.62966,0.76244,0.82585,0.69571
0.63817,0.79301,0.85998,0.71918
0.63921,0.79257,0.85908,0.71708
0.63948,0.79217,0.85848,0.71633
0.64873,0.73143,0.79092,0.66604
0.64917,0.72807,0.78736,0.66301
0.64963,0.72479,0.78388,0.65994
0.65784,0.69496,0.75523,0.63315
0.65855,0.69549,0.75643,0.63483
0.65917,0.69641,0.75797,0.63662
0.66905,0.75315,0.82102,0.68684
0.66913,0.75377,0.82169,0.68737
0.66914,0.75387,0.8218,0.68746
0.67822,0.80017,0.87232,0.73524
0.67831,0.80019,0.87234,0.73528
0.67848,0.80019,0.87235,0.73533
0.68822,0.76608,0.83712,0.70223
0.68867,0.76441,0.83482,0.70038
0.6892,0.76255,0.83217,0.6983
0.69794,0.74399,0.80903,0.6763
0.69999,0.74333,0.81065,0.67578
0.70044,0.74346,0.81124,0.67602
0.70848,0.76926,0.83385,0.70251
0.7091,0.77273,0.83658,0.70559
0.70999,0.77777,0.84082,0.71005
0.71804,0.79924,0.87064,0.73408
0.71901,0.79683,0.86939,0.73313
0.71991,0.79358,0.8667,0.73111
0.72878,0.74812,0.81511,0.68062
0.72904,0.74735,0.81421,0.67952
0.72959,0.74603,0.81267,0.67755
0.73836,0.75944,0.82717,0.68947
0.73879,0.76048,0.82838,0.6905
0.73917,0.76131,0.82935,0.69131
0.74893,0.75791,0.82308,0.69033
0.74938,0.75617,0.82087,0.68888
0.75055,0.7508,0.81434,0.68398
0.75808,0.71305,0.77679,0.64098
0.75895,0.71199,0.77682,0.64277
0.75976,0.71234,0.77831,0.64551
0.76884,0.7609,0.82748,0.68839
0.76903,0.76162,0.82788,0.6888
0.77035,0.76503,0.82882,0.69003
0.77758,0.75288,0.8151,0.67742
0.77916,0.7482,0.8161,0.68498
0.78139,0.74553,0.82394,0.70036
0.78642,0.77871,0.84963,0.71227
0.78704,0.77796,0.85141,0.71109
0.78907,0.76995,0.85094,0.7047
0.79805,0.72711,0.78441,0.66432
0.79955,0.72602,0.78843,0.66025
0.80071,0.72831,0.79471,0.65951
0.80739,0.77792,0.84366,0.71626
0.80907,0.78276,0.85,0.71247
0.80951,0.78249,0.85048,0.7107
0.81867,0.72113,0.77908,0.65915
0.81947,0.71704,0.77674,0.6556
0.82099,0.71361,0.77658,0.65053
0.82762,0.74053,0.80429,0.66843
0.82929,0.74393,0.81109,0.67929
0.83054,0.74491,0.81443,0.68538
0.83827,0.74618,0.81635,0.68551
0.83924,0.74789,0.81714,0.68514
0.84014,0.75014,0.81863,0.68535
0.84746,0.78752,0.851,0.70695
0.84825,0.79257,0.85564,0.71062
0.8504,0.80563,0.86804,0.721
