T_V [keV],dR/dT [v / keV s] Quench
5.934008281121903e-06,1.89058264155497e-26
7.758959299685238e-06,1.8241407067291273e-26
1.014451284115578e-05,1.7592418551464085e-26
1.3262662649976363e-05,1.6956974004340911e-26
1.7338099011953136e-05,1.6332986122231575e-26
2.2664331282629227e-05,1.5718294039922328e-26
2.9624735999447836e-05,1.5110402129829363e-26
3.872003332880203e-05,1.4507535647268675e-26
5.060415255037199e-05,1.390830229020819e-26
6.613104469704878e-05,1.3311326030435768e-26
8.64157798320927e-05,1.2715712626322712e-26
0.00011291428320345865,1.2119786691244458e-26
0.00014752739105494355,1.152046978907954e-26
0.00019273663772422474,1.0915512617609279e-26
0.0002517814443103239,1.0305106098200995e-26
0.00032889032704706844,9.691536146228425e-27
0.0004295825916323879,9.077237475234032e-27
0.0005610620043064461,8.466502864168139e-27
0.000732730493088806,7.865102381524353e-27
0.0009568585072671872,7.27691953317209e-27
0.0012494598718611144,6.70498954980794e-27
0.0016314336332666614,6.153391338762929e-27
0.002130054577204216,5.6193972626062195e-27
0.0027809192262518785,5.095973940005431e-27
0.003630487060496356,4.5802736303682266e-27
0.004739399923197265,4.077234979909837e-27
0.006186819351528836,3.5902560832449814e-27
0.008076096268023221,3.1242108412043355e-27
0.01054218589193877,2.6845502884179085e-27
0.01376135065535111,2.2809641110432498e-27
0.01796386577469699,1.9200532412619486e-27
0.02345067000600762,1.5929375552745356e-27
0.030615207049279954,1.2956856388454346e-27
0.03997210696372024,1.0286229227627083e-27
0.052194897186464154,7.936286007547307e-28
0.06816565785397216,5.915925419712004e-28
0.08904051301461723,4.2313494905932815e-28
0.11633617060753468,2.8815974158652067e-28
0.1520445184554333,1.850949322949735e-28
0.19878473035535296,1.1085274918858519e-28
0.2600056862377644,6.102622894921123e-29
0.3402561137078193,3.034483928959524e-29
0.44554620476923806,1.333586518828125e-29
0.5838332336646244,5.042377110151485e-30
0.7656758457846073,1.5864479308126332e-30
1.0051185041238737,3.984888974010794e-31
1.3208908334293166,7.592311319837421e-32
1.7380386423819485,1.0301805413530464e-32
2.290147275000015,9.211711106284652e-34
3.0223774355102693,4.900675376074083e-35
