T_V [keV],dR/dT [v / keV s] Quench Gauss
5.934008281121903e-06,2.093046559851153e-27
7.758959299685238e-06,2.0208364558980812e-27
1.014451284115578e-05,1.9488598220922613e-27
1.3262662649976363e-05,1.878384601361828e-27
1.7338099011953136e-05,1.809210692523745e-27
2.2664331282629227e-05,1.7410874071932273e-27
2.9624735999447836e-05,1.6737298845663226e-27
3.872003332880203e-05,1.6069374669588116e-27
5.060415255037199e-05,1.5405541867602368e-27
6.613104469704878e-05,1.4744278428832675e-27
8.64157798320927e-05,1.4084559533652472e-27
0.00011291428320345865,1.342453451319841e-27
0.00014752739105494355,1.2760840806697003e-27
0.00019273663772422474,1.2090991418237714e-27
0.0002517814443103239,1.141514528407144e-27
0.00032889032704706844,1.0735756190022087e-27
0.0004295825916323879,1.0055478332875011e-27
0.0005610620043064461,9.37898320206584e-28
0.000732730493088806,8.712562228559377e-28
0.0009568585072671872,8.060485528979313e-28
0.0012494598718611144,7.426107036600636e-28
0.0016314336332666614,6.8139040681946625e-28
0.002130054577204216,6.2209659646335865e-28
0.0027809192262518785,5.639700297049781e-28
0.003630487060496356,5.0670685687735015e-28
0.004739399923197265,4.508543246011884e-28
0.006186819351528836,3.9679766111473568e-28
0.008076096268023221,3.450845655017533e-28
0.01054218589193877,2.9632554246950837e-28
0.01376135065535111,2.5159462288416516e-28
0.01796386577469699,2.116194203965584e-28
0.02345067000600762,1.7542358204250495e-28
0.030615207049279954,1.4256192537385637e-28
0.03997210696372024,1.1305718790869168e-28
0.052194897186464154,8.711747551231469e-29
0.06816565785397216,6.48420234114966e-29
0.08904051301461723,4.6295352478608963e-29
0.11633617060753468,3.146088097552982e-29
0.1520445184554333,2.015756500176449e-29
0.19878473035535296,1.2036285101285528e-29
0.2600056862377644,6.602833323291219e-30
0.3402561137078193,3.2696739173786566e-30
0.44554620476923806,1.4301110768400053e-30
0.5838332336646244,5.378351809693236e-31
0.7656758457846073,1.6823182283799254e-31
1.0051185041238737,4.2007797349722594e-32
1.3208908334293166,7.96138951124866e-33
1.7380386423819485,1.0764992222794657e-33
2.290147275000015,9.626385516243091e-35
3.0223774355102693,5.141831120798596e-36
