N-Sigma,Expossure [kg - dia]
1.0,2.7569999999998074
1.4142135623730951,5.513000000000176
1.7320508075688772,8.270000000000856
2.0,11.026999999999328
2.23606797749979,13.7829999999978
2.449489742783178,16.53999999999723
2.6457513110645907,19.2970000000006
2.8284271247461903,22.05300000000397
3.0,24.81000000000734
3.1622776601683795,27.566000000010707
3.3166247903554,30.323000000014076
3.4641016151377544,33.080000000013605
3.605551275463989,35.83600000000718
3.741657386773941,38.59300000000076
3.872983346207417,41.34999999999433
4.0,44.10599999998791
4.123105625617661,46.86299999998148
4.242640687119285,49.61899999997506
4.358898943540674,52.375999999968634
4.47213595499958,55.13299999996221
4.58257569495584,57.888999999955786
4.69041575982343,60.64599999994936
4.795831523312719,63.402999999942935
4.898979485566356,66.15899999995185
5.0,68.91599999996501
5.0990195135927845,71.67199999997817
5.196152422706632,74.42899999999133
5.291502622129181,77.1860000000045
5.385164807134504,79.94200000001766
5.477225575051661,82.69900000003082
5.5677643628300215,85.45600000004399
5.656854249492381,88.21200000005715
5.744562646538029,90.96900000007031
5.830951894845301,93.72500000008347
5.916079783099616,96.48200000009663
6.0,99.2390000001098
6.082762530298219,101.99500000012296
6.164414002968976,104.75200000013612
6.244997998398398,107.50900000014929
6.324555320336759,110.26500000016244
