N Sigma,Valores de Chi-Square 1 NDF,Valores de Chi-Square 4 NDF,Probability
1.0,1.0,4.7195000000023395,0.682692338116051
1.4142135623730951,2.0,6.621499999997907,0.8427059188018577
1.7320508075688772,3.0,8.237299999994141,0.9167376878687908
2.0,4.0,9.715699999990695,0.954501110409495
2.23606797749979,5.0,11.110799999987444,0.974653404620486
2.449489742783178,6.0,12.449199999984325,0.9856944560902298
2.6457513110645907,7.0,13.746199999981302,0.9918492726819422
2.8284271247461903,8.0,15.011399999978353,0.9953223689027436
3.0,9.0,16.251399999975465,0.9973002750759244
3.1622776601683795,10.0,17.470799999972623,0.9984346272010299
3.3166247903554,11.0,18.67309999996982,0.9990889054165126
3.4641016151377544,12.0,19.860899999967053,0.9994680162039055
3.605551275463989,13.0,21.036199999964314,0.9996885215142932
3.7416573867739413,14.0,22.2005999999616,0.999817191198947
3.872983346207417,15.0,23.35559999995891,0.9998924922443698
4.0,16.0,24.502099999956236,0.9999366587134597
4.123105625617661,17.0,25.641099999953582,0.9999626206963492
4.242640687119285,18.0,26.773399999950943,0.9999779102273219
4.358898943540674,19.0,27.89949999994832,0.9999869282274879
4.47213595499958,20.0,29.020199999945707,0.9999922561267478
4.58257569495584,21.0,30.135699999943107,0.999995407240971
4.69041575982343,22.0,31.246599999940518,0.9999972735077752
4.795831523312719,23.0,32.35329999995049,0.9999983800237943
4.898979485566356,24.0,33.45599999998709,0.9999990366554389
5.0,25.0,34.55510000002358,0.9999994267113352
5.0990195135927845,26.0,35.65070000005995,0.9999996585776744
5.196152422706632,27.0,36.743200000096216,0.999999796539087
5.291502622129181,28.0,37.832700000132384,0.999999878676948
5.385164807134504,29.0,38.91940000016846,0.9999999276132744
5.477225575051661,30.0,40.003400000204444,0.9999999567857966
5.5677643628300215,31.0,41.084900000240346,0.9999999741879549
5.656854249492381,32.0,42.16380000027616,0.9999999845729246
5.744562646538029,33.0,43.240200000311894,0.9999999907741924
5.830951894845301,34.0,44.31400000034754,0.9999999944789782
5.916079783099616,35.0,45.38480000038309,0.9999999966930704
6.0,36.0,46.452000000418515,0.9999999980168385
6.082762530298219,37.0,47.51470000045379,0.9999999988087083
6.164414002968976,38.0,48.571200000488865,0.9999999992825838
6.244997998398398,39.0,49.61840000052363,0.9999999995662137
6.324555320336759,40.0,50.65160000055793,0.9999999997360471
