T [keV],dR/dT [v / keV s]
9.999999999999999e-05,1.4181416385387962e-28
0.00012648552168552957,1.414079806999369e-28
0.00015998587196060574,1.4093213440305651e-28
0.00020235896477251557,1.403713483825271e-28
0.0002559547922699533,1.3970653325722846e-28
0.00032374575428176466,1.3891518547067845e-28
0.00040949150623804275,1.3796936657994498e-28
0.0005179474679231213,1.368457053100002e-28
0.0006551285568595509,1.3552232712940702e-28
0.0008286427728546842,1.3397550962905112e-28
0.0010481131341546852,1.321843775009836e-28
0.0013257113655901107,1.3011821336812313e-28
0.00167683293681101,1.2772801710450667e-28
0.0021209508879201926,1.2496913824923894e-28
0.002682695795279727,1.2182130973307288e-28
0.00339322177189533,1.1828888293568618e-28
0.004291934260128779,1.143805877129374e-28
0.005428675439323859,1.101320883522296e-28
0.006866488450042998,1.0560515585383877e-28
0.00868511373751352,1.0084522194968566e-28
0.010985411419875572,9.589270664235225e-29
0.013894954943731361,9.080930242584074e-29
0.017575106248547932,8.556255010987914e-29
0.022229964825261954,8.004915650403471e-29
0.02811768697974231,7.421977920600435e-29
0.03556480306223128,6.814846139929007e-29
0.044984326689694445,6.189364106521653e-29
0.05689866029018305,5.554783461193415e-29
0.07196856730011529,4.922555056256528e-29
0.09102981779915227,4.31349679331897e-29
0.11513953993264481,3.7448203029552047e-29
0.14563484775012445,3.204495429660314e-29
0.18420699693267165,2.688660283456969e-29
0.2329951810515372,2.2017816016920173e-29
0.29470517025518095,1.7523842847987982e-29
0.3727593720314942,1.347585856489991e-29
0.47148663634573945,9.94416426965456e-30
0.5963623316594643,6.987464020398705e-30
0.7543120063354622,4.631559213363392e-30
0.9540954763499944,2.8627630013480783e-30
1.2067926406393288,1.6268079638284276e-30
1.5264179671752334,8.35187657214437e-31
1.9306977288832496,3.790885284580195e-31
2.44205309454865,1.481123001230404e-31
3.088843596477485,4.819119245853069e-32
3.9069399370546214,1.2534970786554304e-32
4.941713361323838,2.478576430632234e-33
6.250551925273976,3.5026604314819304e-34
7.906043210907701,3.279583496266401e-35
10.0,1.8404984200119627e-36
