x,Curve1
1.1524,3.7113
3.1597,4.0339
5.1667,3.1743
7.1513,3.7156
9.1585,3.7628
11.1724,4.8061
13.1531,2.5862
15.1477,4.0505
17.163,10.3731
19.1549,1.4973
