N Sigma,Valores de Chi-Square 1 NDF,Valores de Chi-Square 4 NDF,Probability
1.0,1.0,3.526800000003018,0.6826971509298334
1.4142135623730951,2.0,5.206400000001205,0.8427074313834737
1.7320508075688772,3.0,6.668099999997798,0.9167363484549182
2.0,4.0,8.024899999994636,0.9545001089802047
2.23606797749979,5.0,9.318199999991622,0.9746538303768523
2.449489742783178,6.0,10.568199999988709,0.9856946772067212
2.6457513110645907,7.0,11.786699999985869,0.9918492754467478
2.8284271247461903,8.0,12.981099999983085,0.9953223434517918
3.0,9.0,14.156499999980346,0.997300313286939
3.1622776601683795,10.0,15.316299999977643,0.9984346396074542
3.3166247903554,11.0,16.46319999997497,0.999088889559996
3.4641016151377544,12.0,17.599299999972324,0.999468013678833
3.605551275463989,13.0,18.725999999969698,0.999688519070146
3.7416573867739413,14.0,19.84459999996709,0.9998171941609647
3.872983346207417,15.0,20.9560999999645,0.9998924905579889
4.0,16.0,22.061399999961925,0.999936659925023
4.123105625617661,17.0,23.160999999959362,0.9999626202797002
4.242640687119285,18.0,24.25569999995681,0.9999779098687519
4.358898943540674,19.0,25.34589999995427,0.9999869286287001
4.47213595499958,20.0,26.43189999995174,0.9999922558100448
4.58257569495584,21.0,27.514299999949216,0.9999954073126714
4.69041575982343,22.0,28.5931999999467,0.9999972735419138
4.795831523312719,23.0,29.668999999944194,0.9999983800155721
4.898979485566356,24.0,30.741899999941694,0.9999990366563623
5.0,25.0,31.8120999999392,0.999999426694534
5.0990195135927845,26.0,32.87989999996797,0.9999996585882737
5.196152422706632,27.0,33.945300000003336,0.9999997965428765
5.291502622129181,28.0,35.00850000003863,0.9999998786777354
5.385164807134504,29.0,36.06970000007386,0.9999999276146001
5.477225575051661,30.0,37.12890000010902,0.9999999567869227
5.5677643628300215,31.0,38.18620000014412,0.9999999741879817
5.656854249492381,32.0,39.241600000179155,0.9999999845730376
5.744562646538029,33.0,40.29510000021413,0.9999999907743075
5.830951894845301,34.0,41.34650000024903,0.9999999944788719
5.916079783099616,35.0,42.39550000028385,0.9999999966929717
6.0,36.0,43.44160000031858,0.9999999980169109
6.082762530298219,37.0,44.48360000035317,0.9999999988087517
6.164414002968976,38.0,45.51980000038757,0.9999999992825596
6.244997998398398,39.0,46.54740000042168,0.9999999995661947
6.324555320336759,40.0,47.56170000045535,0.9999999997360413
