0.0621118 -1.58333
0.0745342 -1.52778
0.0869565 -1.47222
0.0993789 -1.41667
0.111801 -1.40278
0.124224 -1.56944
0.124224 -1.56944
0.136646 -1.59722
0.149068 -1.54167
0.149068 -1.54167
0.161491 -1.375
0.161491 -1.375
0.173913 -1.26389
0.186335 -1.15278
0.198758 -1.09722
0.223602 -1.04167
0.248447 -0.944444
0.285714 -0.916667
0.322981 -0.958333
0.372671 -0.972222
0.397516 -1.01389
0.409938 -1.06944
0.42236 -1.11111
0.434783 -1.16667
0.447205 -1.22222
0.459627 -1.27778
0.47205 -1.33333
0.484472 -1.44444
0.484472 -1.44444
0.496894 -1.55556
0.509317 -1.66667
0.534161 -1.68056
0.546584 -1.63889
0.571429 -1.58333
0.608696 -1.58333
0.645963 -1.625
0.670807 -1.66667
0.708075 -1.70833
0.732919 -1.69444
0.782609 -1.70833
0.819876 -1.75
0.857143 -1.72222
0.89441 -1.73611
0.919255 -1.69444
0.944099 -1.65278
0.981366 -1.65278
0.993789 -1.59722
1.01863 -1.55556
1.06832 -1.56944
1.10559 -1.59722
1.11801 -1.65278
1.13043 -1.70833
1.14286 -1.76389
1.15528 -1.81944
1.1677 -1.875
1.18012 -1.98611
1.18012 -1.98611
1.19255 -2.15278
1.20497 -2.20833
1.20497 -2.20833
1.21739 -2.30556
1.22981 -2.41667
1.22981 -2.41667
1.24224 -2.52778
