N-Sigma,Expossure [kg - dia]
1.0,13.009999999998229
1.4142135623730951,18.252999999999325
1.7320508075688772,22.70700000000477
2.0,26.78300000000975
2.23606797749979,30.62900000001445
2.449489742783178,34.31800000001072
2.6457513110645907,37.89300000000239
2.8284271247461903,41.38099999999426
3.0,44.79899999998629
3.1622776601683795,48.16099999997846
3.3166247903554,51.474999999970734
3.4641016151377544,54.748999999963104
3.605551275463989,57.98899999995555
3.741657386773941,61.19899999994807
3.872983346207417,64.38299999994337
4.0,67.54299999995845
4.123105625617661,70.68299999997345
4.242640687119285,73.80399999998835
4.358898943540674,76.90900000000318
4.47213595499958,79.99800000001792
4.58257569495584,83.07300000003261
4.69041575982343,86.13500000004723
4.795831523312719,89.1860000000618
4.898979485566356,92.22600000007631
5.0,95.25600000009078
5.0990195135927845,98.2760000001052
5.196152422706632,101.28700000011958
5.291502622129181,104.29100000013392
5.385164807134504,107.28600000014822
5.477225575051661,110.27500000016249
5.5677643628300215,113.25600000017673
5.656854249492381,116.23000000019093
5.744562646538029,119.1970000002051
5.830951894845301,122.15700000021923
5.916079783099616,125.10900000023332
6.0,128.05100000024737
6.082762530298219,130.98000000026136
6.164414002968976,133.89300000027526
6.244997998398398,136.77900000028905
6.324555320336759,139.62800000030265
