x,Curve1
4.907,8.857e+17
9.761,2.46e+18
14.915,4.099e+18
19.628,5.763e+18
24.932,7.107e+18
30.089,8.538e+18
35.099,9.863e+18
39.961,1.0954e+19
44.677,1.1697e+19
49.981,1.3511e+19
54.108,1.4054e+19
59.413,1.5008e+19
64.866,1.5409e+19
69.729,1.6671e+19
75.182,1.7116e+19
79.751,1.7344e+19
85.056,1.8521e+19
89.625,1.8524e+19
95.372,2.004e+19
100.089,1.978e+19
105.247,2.005e+19
109.521,2.058e+19
114.826,2.086e+19
119.543,2.114e+19
124.996,2.114e+19
129.712,2.114e+19
135.018,2.171e+19
139.439,2.288e+19
145.039,2.258e+19
149.461,2.349e+19
154.176,2.444e+19
159.924,2.444e+19
164.346,2.445e+19
170.094,2.51e+19
175.105,2.577e+19
179.526,2.577e+19
184.684,2.752e+19
189.548,2.681e+19
194.117,2.682e+19
199.422,2.718e+19
204.728,2.648e+19
209.739,2.648e+19
214.75,2.791e+19
219.613,2.866e+19
225.214,2.866e+19
229.783,2.867e+19
234.499,2.982e+19
239.952,3.022e+19
244.816,2.906e+19
249.974,2.983e+19
255.133,2.984e+19
259.997,2.869e+19
264.713,2.908e+19
269.429,3.025e+19
275.177,2.986e+19
280.336,2.909e+19
284.02,2.91e+19
289.768,2.948e+19
294.042,2.949e+19
299.495,2.949e+19
304.8,3.191e+19
310.107,2.989e+19
314.971,2.99e+19
319.392,2.99e+19
324.55,2.991e+19
330.298,2.991e+19
335.015,3.031e+19
339.583,3.153e+19
344.742,3.154e+19
349.605,3.154e+19
354.911,3.196e+19
360.069,3.197e+19
364.933,3.197e+19
369.502,3.283e+19
374.513,3.116e+19
379.819,3.284e+19
384.977,3.328e+19
389.104,3.328e+19
394.262,3.285e+19
399.273,3.508e+19
