T_V [keV],dR/dT [v / keV s] Quench Gauss Eff
5.934008281121903e-06,2865.4439147339126
7.758959299685238e-06,2767.094955891563
1.014451284115578e-05,2669.103172376544
1.3262662649976363e-05,2573.2257314183685
1.7338099011953136e-05,2479.2256448466574
2.2664331282629227e-05,2386.811677462774
2.962473599944784e-05,2295.6506867129165
3.872003332880203e-05,2205.5202523510425
5.060415255037199e-05,2116.2678626112884
6.613104469704878e-05,2027.7590055298467
8.64157798320927e-05,1939.9429467623431
0.0001129142832034,1852.6700550277988
0.0001475273910549,1765.5987597458197
0.0001927366377242,1678.5270215769942
0.0002517814443103,1591.641450941535
0.000328890327047,1505.4726762257314
0.0004295825916323,1420.605926135443
0.0005610620043064,1337.9445856825891
0.0007327304930888,1258.6696707573362
0.0009568585072671,1183.7299736022187
0.0012494598718611,1114.0068987019263
0.0016314336332666,1050.6405567612976
0.0021300545772042,993.7193839661563
0.0027809192262518,942.5307660112962
0.0036304870604963,896.9100176248035
0.0047393999231972,857.9940296331538
0.0061868193515288,826.5035411802987
0.0080760962680232,803.209594920919
0.0105421858919387,788.6106355433717
0.0137613506553511,783.9419825088478
0.0179638657746969,789.1272609726119
0.0234506700060076,795.7251844974468
0.0306152070492799,791.3861953644385
0.0399721069637202,761.6928018857918
0.0521948971864641,695.3958775503086
0.0681656578539721,591.6025481348274
0.0890405130146172,464.51494058288733
0.1163361706075346,336.5641169962217
0.1520445184554333,225.7769614050644
0.1987847303553529,140.06097883485415
0.2600056862377644,79.54877984725604
0.3402561137078193,40.63217754483306
0.445546204769238,18.234870694260803
0.5838332336646244,6.992940755208056
0.7656758457846073,2.2176016109491834
1.0051185041238735,0.5589587868531755
1.3208908334293166,0.10662121476296516
1.7380386423819485,0.014472885852125543
2.290147275000015,0.0012945788434388808
3.0223774355102693,6.88030362959539e-05
